battery,process,energy,unit
LMO-G,anode mixing,0.03510378671594223,MJ/kg
LMO-G,cathode mixing,0.052943226237235186,MJ/kg
LMO-G,anode coating,0.006912910196799798,MJ/kg
LMO-G,cathode coating,0.006912910196799798,MJ/kg
LMO-G,anode drying,4.042808655611527,MJ/kg
LMO-G,cathode drying,16.08094404697253,MJ/kg
LMO-G,anode calendering,0.0009954590683391709,MJ/kg
LMO-G,cathode calendering,0.0009954590683391709,MJ/kg
LMO-G,anode slitting,0.00022121312629759353,MJ/kg
LMO-G,cathode slitting,0.00022121312629759353,MJ/kg
LMO-G,stacking/winding,0.00044242625259518706,MJ/kg
LMO-G,filling,0.0007373770876586451,MJ/kg
LMO-G,formation,1.260914819896283,MJ/kg
LMO-G,floor heating,0.10985479799071518,MJ/kg
LMO-G,dry room,20.97162872533519,MJ/kg
NMC811 G,anode mixing,0.03458194949092429,MJ/kg
NMC811 G,cathode mixing,0.045305161372339066,MJ/kg
NMC811 G,anode coating,0.006819179921630726,MJ/kg
NMC811 G,cathode coating,0.006819179921630726,MJ/kg
NMC811 G,anode drying,4.120078164734293,MJ/kg
NMC811 G,cathode drying,16.033948150501434,MJ/kg
NMC811 G,anode calendering,0.0009819619087148245,MJ/kg
NMC811 G,cathode calendering,0.0009819619087148245,MJ/kg
NMC811 G,anode slitting,0.00021821375749218322,MJ/kg
NMC811 G,cathode slitting,0.00021821375749218322,MJ/kg
NMC811 G,stacking/winding,0.00043642751498436643,MJ/kg
NMC811 G,filling,0.0007273791916406107,MJ/kg
NMC811 G,formation,1.2438184177054443,MJ/kg
NMC811 G,floor heating,0.10836530656797412,MJ/kg
NMC811 G,dry room,20.687280097158414,MJ/kg
LFP G,anode mixing,0.026479196222730417,MJ/kg
LFP G,cathode mixing,0.03533143135473649,MJ/kg
LFP G,anode coating,0.005214488882706355,MJ/kg
LFP G,cathode coating,0.005214488882706355,MJ/kg
LFP G,anode drying,3.1986527020010658,MJ/kg
LFP G,cathode drying,12.130090278149455,MJ/kg
LFP G,anode calendering,0.000750886399109715,MJ/kg
LFP G,cathode calendering,0.000750886399109715,MJ/kg
LFP G,anode slitting,0.00016686364424660334,MJ/kg
LFP G,cathode slitting,0.00016686364424660334,MJ/kg
LFP G,stacking/winding,0.00033372728849320667,MJ/kg
LFP G,filling,0.0005562121474886778,MJ/kg
LFP G,formation,0.951122772205639,MJ/kg
LFP G,floor heating,0.08286475688628511,MJ/kg
LFP G,dry room,15.81914443082597,MJ/kg
NCA G,anode mixing,0.02348572426812472,MJ/kg
NCA G,cathode mixing,0.038069357973722275,MJ/kg
NCA G,anode coating,0.0046249911465709535,MJ/kg
NCA G,cathode coating,0.0046249911465709535,MJ/kg
NCA G,anode drying,2.951359435125194,MJ/kg
NCA G,cathode drying,10.75879354893343,MJ/kg
NCA G,anode calendering,0.0006659987251062173,MJ/kg
NCA G,cathode calendering,0.0006659987251062173,MJ/kg
NCA G,anode slitting,0.0001479997166902705,MJ/kg
NCA G,cathode slitting,0.0001479997166902705,MJ/kg
NCA G,stacking/winding,0.000295999433380541,MJ/kg
NCA G,filling,0.0004933323889675683,MJ/kg
NCA G,formation,0.8435983851345419,MJ/kg
NCA G,floor heating,0.07349689980792797,MJ/kg
NCA G,dry room,14.030790856902744,MJ/kg
NMC622 G,anode mixing,0.02488638041443454,MJ/kg
NMC622 G,cathode mixing,0.039692094156209376,MJ/kg
NMC622 G,anode coating,0.0049008192284353555,MJ/kg
NMC622 G,cathode coating,0.0049008192284353555,MJ/kg
NMC622 G,anode drying,3.073208712908529,MJ/kg
NMC622 G,cathode drying,11.400442659932846,MJ/kg
NMC622 G,anode calendering,0.0007057179688946911,MJ/kg
NMC622 G,cathode calendering,0.0007057179688946911,MJ/kg
NMC622 G,anode slitting,0.00015682621530993136,MJ/kg
NMC622 G,cathode slitting,0.00015682621530993136,MJ/kg
NMC622 G,stacking/winding,0.0003136524306198627,MJ/kg
NMC622 G,filling,0.0005227540510331044,MJ/kg
NMC622 G,formation,0.8939094272666087,MJ/kg
NMC622 G,floor heating,0.0778801533655118,MJ/kg
NMC622 G,dry room,14.867567837972084,MJ/kg
NMC111 G,anode mixing,0.02376652264635889,MJ/kg
NMC111 G,cathode mixing,0.04279097342872812,MJ/kg
NMC111 G,anode coating,0.0052834406911777985,MJ/kg
NMC111 G,cathode coating,0.0052834406911777985,MJ/kg
NMC111 G,anode drying,3.946943100542582,MJ/kg
NMC111 G,cathode drying,12.2904831701564,MJ/kg
NMC111 G,anode calendering,0.0007608154595296029,MJ/kg
NMC111 G,cathode calendering,0.0007608154595296029,MJ/kg
NMC111 G,anode slitting,0.00016907010211768955,MJ/kg
NMC111 G,cathode slitting,0.00016907010211768955,MJ/kg
NMC111 G,stacking/winding,0.0003381402042353791,MJ/kg
NMC111 G,filling,0.0005635670070589651,MJ/kg
NMC111 G,formation,0.9636995820708304,MJ/kg
NMC111 G,floor heating,0.08396048745056058,MJ/kg
NMC111 G,dry room,16.028322864515587,MJ/kg
NMC532LMO G,anode mixing,0.027152001569940392,MJ/kg
NMC532LMO G,cathode mixing,0.048206718492136286,MJ/kg
NMC532LMO G,anode coating,0.0060360529841131175,MJ/kg
NMC532LMO G,cathode coating,0.0060360529841131175,MJ/kg
NMC532LMO G,anode drying,4.3352353366823495,MJ/kg
NMC532LMO G,cathode drying,14.041283857168368,MJ/kg
NMC532LMO G,anode calendering,0.0008691916297122888,MJ/kg
NMC532LMO G,cathode calendering,0.0008691916297122888,MJ/kg
NMC532LMO G,anode slitting,0.00019315369549161975,MJ/kg
NMC532LMO G,cathode slitting,0.00019315369549161975,MJ/kg
NMC532LMO G,stacking/winding,0.0003863073909832395,MJ/kg
NMC532LMO G,filling,0.0006438456516387324,MJ/kg
NMC532LMO G,formation,1.1009760643022324,MJ/kg
NMC532LMO G,floor heating,0.09592043905589354,MJ/kg
NMC532LMO G,dry room,18.311515489941183,MJ/kg
NMC532 G,anode mixing,0.027233313531743953,MJ/kg
NMC532 G,cathode mixing,0.043809161865439886,MJ/kg
NMC532 G,anode coating,0.005305990060578034,MJ/kg
NMC532 G,cathode coating,0.005305990060578034,MJ/kg
NMC532 G,anode drying,3.257777958090588,MJ/kg
NMC532 G,cathode drying,12.342956828699325,MJ/kg
NMC532 G,anode calendering,0.0007640625687232368,MJ/kg
NMC532 G,cathode calendering,0.0007640625687232368,MJ/kg
NMC532 G,anode slitting,0.0001697916819384971,MJ/kg
NMC532 G,cathode slitting,0.0001697916819384971,MJ/kg
NMC532 G,stacking/winding,0.0003395833638769942,MJ/kg
NMC532 G,filling,0.0005659722731283236,MJ/kg
NMC532 G,formation,0.9678125870494334,MJ/kg
NMC532 G,floor heating,0.0843188251621408,MJ/kg
NMC532 G,dry room,16.09673066811632,MJ/kg
LMO LTO,anode mixing,0.03571108530665587,MJ/kg
LMO LTO,cathode mixing,0.049512313344851545,MJ/kg
LMO LTO,anode coating,0.006464928568105434,MJ/kg
LMO LTO,cathode coating,0.006464928568105434,MJ/kg
LMO LTO,anode drying,3.814979303908771,MJ/kg
LMO LTO,cathode drying,15.006261532410832,MJ/kg
LMO LTO,anode calendering,0.0009309497138071825,MJ/kg
LMO LTO,cathode calendering,0.0009309497138071825,MJ/kg
LMO LTO,anode slitting,0.0002068777141793739,MJ/kg
LMO LTO,cathode slitting,0.0002068777141793739,MJ/kg
LMO LTO,stacking/winding,0.0004137554283587478,MJ/kg
LMO LTO,filling,0.0006895923805979129,MJ/kg
LMO LTO,formation,1.1792029708224312,MJ/kg
LMO LTO,floor heating,0.10273580903776261,MJ/kg
LMO LTO,dry room,19.612591196235165,MJ/kg
NMC333 Si,anode mixing,0.006564472895881782,MJ/kg
NMC333 Si,cathode mixing,0.055491398728219385,MJ/kg
NMC333 Si,anode coating,0.007963534655633538,MJ/kg
NMC333 Si,cathode coating,0.007963534655633538,MJ/kg
NMC333 Si,anode drying,7.09025021221959,MJ/kg
NMC333 Si,cathode drying,18.44587097778308,MJ/kg
NMC333 Si,anode calendering,0.0011467489904112295,MJ/kg
NMC333 Si,cathode calendering,0.0011467489904112295,MJ/kg
NMC333 Si,anode slitting,0.00025483310898027326,MJ/kg
NMC333 Si,cathode slitting,0.00025483310898027326,MJ/kg
NMC333 Si,stacking/winding,0.0005096662179605465,MJ/kg
NMC333 Si,filling,0.0008494436966009107,MJ/kg
NMC333 Si,formation,1.4525487211875574,MJ/kg
NMC333 Si,floor heating,0.1265505360234058,MJ/kg
NMC333 Si,dry room,24.158897972752484,MJ/kg
